id,productvar,Variant,parent_prod_id,stock,sales,QtySoled,Artist_Name
127057,Yoga and unicorns - Variant ( XS ), ( XS ),127037,0,8386,14,The Souled Store 
127058,Yoga and unicorns - Variant ( S ), ( S ),127037,-1,2995,5,The Souled Store 
127059,Yoga and unicorns - Variant ( M ), ( M ),127037,0,2396,4,The Souled Store 
127060,Yoga and unicorns - Variant ( L ), ( L ),127037,0,2995,5,The Souled Store 
119458,Wonder Woman: Logo - Variant ( XXL ), ( XXL ),119410,1,17970,30,DC Comics™ 
119453,Wonder Woman: Logo - Variant ( XS ), ( XS ),119410,72,9584,16,DC Comics™ 
119457,Wonder Woman: Logo - Variant ( XL ), ( XL ),119410,5,19767,33,DC Comics™ 
119454,Wonder Woman: Logo - Variant ( S ), ( S ),119410,40,23361,39,DC Comics™ 
119455,Wonder Woman: Logo - Variant ( M ), ( M ),119410,255,32945,55,DC Comics™ 
119456,Wonder Woman: Logo - Variant ( L ), ( L ),119410,186,26955,45,DC Comics™ 
127001,Woke Up Like This - Variant ( XXL ), ( XXL ),126919,12,6589,11,The Souled Store 
126996,Woke Up Like This - Variant ( XS ), ( XS ),126919,43,599,1,The Souled Store 
127000,Woke Up Like This - Variant ( XL ), ( XL ),126919,23,2396,4,The Souled Store 
126997,Woke Up Like This - Variant ( S ), ( S ),126919,56,1198,2,The Souled Store 
126998,Woke Up Like This - Variant ( M ), ( M ),126919,46,1198,2,The Souled Store 
126999,Woke Up Like This - Variant ( L ), ( L ),126919,50,2995,5,The Souled Store 
126995,Weird? Always - Variant ( XXL ), ( XXL ),126922,40,10183,17,The Souled Store 
126990,Weird? Always - Variant ( XS ), ( XS ),126922,46,10782,18,The Souled Store 
126994,Weird? Always - Variant ( XL ), ( XL ),126922,59,11381,19,The Souled Store 
126991,Weird? Always - Variant ( S ), ( S ),126922,154,7188,12,The Souled Store 
126992,Weird? Always - Variant ( M ), ( M ),126922,220,14376,24,The Souled Store 
126993,Weird? Always - Variant ( L ), ( L ),126922,123,10183,17,The Souled Store 
126989,We're All Mad - Variant ( XXL ), ( XXL ),126925,9,1797,3,The Souled Store 
126984,We're All Mad - Variant ( XS ), ( XS ),126925,31,9584,16,The Souled Store 
126988,We're All Mad - Variant ( XL ), ( XL ),126925,39,10782,18,The Souled Store 
126985,We're All Mad - Variant ( S ), ( S ),126925,130,10183,17,The Souled Store 
126986,We're All Mad - Variant ( M ), ( M ),126925,36,13777,23,The Souled Store 
126987,We're All Mad - Variant ( L ), ( L ),126925,94,13777,23,The Souled Store 
127056,Wanderlust - Variant ( XXL ), ( XXL ),127036,96,22762,38,The Souled Store 
127051,Wanderlust - Variant ( XS ), ( XS ),127036,0,7188,12,The Souled Store 
127055,Wanderlust - Variant ( XL ), ( XL ),127036,97,19767,33,The Souled Store 
127052,Wanderlust - Variant ( S ), ( S ),127036,57,20965,35,The Souled Store 
127053,Wanderlust - Variant ( M ), ( M ),127036,40,26356,44,The Souled Store 
127054,Wanderlust - Variant ( L ), ( L ),127036,55,21564,36,The Souled Store 
133705,Unimpressed - Variant ( XXL ), ( XXL ),133699,15,4193,7,The Souled Store 
133700,Unimpressed - Variant ( XS ), ( XS ),133699,13,1797,3,The Souled Store 
133704,Unimpressed - Variant ( XL ), ( XL ),133699,58,599,1,The Souled Store 
133701,Unimpressed - Variant ( S ), ( S ),133699,35,4792,8,The Souled Store 
133702,Unimpressed - Variant ( M ), ( M ),133699,34,3594,6,The Souled Store 
133703,Unimpressed - Variant ( L ), ( L ),133699,27,3594,6,The Souled Store 
126978,Trouble Maker - Variant ( XS ), ( XS ),126923,160,5990,10,The Souled Store 
126982,Trouble Maker - Variant ( XL ), ( XL ),126923,43,9584,16,The Souled Store 
126979,Trouble Maker - Variant ( S ), ( S ),126923,153,8985,15,The Souled Store 
126980,Trouble Maker - Variant ( M ), ( M ),126923,118,8386,14,The Souled Store 
126981,Trouble Maker - Variant ( L ), ( L ),126923,51,8386,14,The Souled Store 
126977,Talk Nerdy To Me - Variant ( XXL ), ( XXL ),126918,0,1198,2,The Souled Store 
126976,Talk Nerdy To Me - Variant ( XL ), ( XL ),126918,3,13178,22,The Souled Store 
126973,Talk Nerdy To Me - Variant ( S ), ( S ),126918,0,8386,14,The Souled Store 
126974,Talk Nerdy To Me - Variant ( M ), ( M ),126918,0,2995,5,The Souled Store 
126975,Talk Nerdy To Me - Variant ( L ), ( L ),126918,8,14975,25,The Souled Store 
119452,Stay Weird - Variant ( XXL ), ( XXL ),119407,81,17371,29,The Souled Store 
119447,Stay Weird - Variant ( XS ), ( XS ),119407,48,10782,18,The Souled Store 
119451,Stay Weird - Variant ( XL ), ( XL ),119407,96,15574,26,The Souled Store 
119448,Stay Weird - Variant ( S ), ( S ),119407,182,7188,12,The Souled Store 
119449,Stay Weird - Variant ( M ), ( M ),119407,167,17970,30,The Souled Store 
119450,Stay Weird - Variant ( L ), ( L ),119407,133,15574,26,The Souled Store 
119697,Space Pattern - Variant ( XS ), ( XS ),119681,0,599,1,The Souled Store 
119698,Space Pattern - Variant ( S ), ( S ),119681,0,1198,2,The Souled Store 
119699,Space Pattern - Variant ( M ), ( M ),119681,0,16173,27,The Souled Store 
119700,Space Pattern - Variant ( L ), ( L ),119681,0,24559,41,The Souled Store 
134044,Solids: Wine - Variant ( XXL ), ( XXL ),134038,93,20965,35,The Souled Store 
134039,Solids: Wine - Variant ( XS ), ( XS ),134038,1,25158,42,The Souled Store 
134043,Solids: Wine - Variant ( XL ), ( XL ),134038,0,1797,3,The Souled Store 
134040,Solids: Wine - Variant ( S ), ( S ),134038,1,52712,88,The Souled Store 
134041,Solids: Wine - Variant ( M ), ( M ),134038,101,24559,41,The Souled Store 
134042,Solids: Wine - Variant ( L ), ( L ),134038,0,47920,80,The Souled Store 
142232,Solids: Red Melange - Variant ( XS ), ( XS ),142231,0,2396,4,The Souled Store 
142236,Solids: Red Melange - Variant ( XL ), ( XL ),142231,0,2995,5,The Souled Store 
142233,Solids: Red Melange - Variant ( S ), ( S ),142231,2,8386,14,The Souled Store 
142234,Solids: Red Melange - Variant ( M ), ( M ),142231,0,13777,23,The Souled Store 
142235,Solids: Red Melange - Variant ( L ), ( L ),142231,0,7188,12,The Souled Store 
119144,Solids: Peach Pink - Variant ( XXL ), ( XXL ),119138,41,11980,20,The Souled Store 
119139,Solids: Peach Pink - Variant ( XS ), ( XS ),119138,70,11381,19,The Souled Store 
119143,Solids: Peach Pink - Variant ( XL ), ( XL ),119138,73,7188,12,The Souled Store 
119140,Solids: Peach Pink - Variant ( S ), ( S ),119138,64,13178,22,The Souled Store 
119141,Solids: Peach Pink - Variant ( M ), ( M ),119138,219,20366,34,The Souled Store 
119142,Solids: Peach Pink - Variant ( L ), ( L ),119138,176,10782,18,The Souled Store 
119109,Solids: Navy Blue - Variant ( XXL ), ( XXL ),119103,38,9584,16,The Souled Store 
119104,Solids: Navy Blue - Variant ( XS ), ( XS ),119103,77,1198,2,The Souled Store 
119108,Solids: Navy Blue - Variant ( XL ), ( XL ),119103,57,2995,5,The Souled Store 
119105,Solids: Navy Blue - Variant ( S ), ( S ),119103,102,599,1,The Souled Store 
119106,Solids: Navy Blue - Variant ( M ), ( M ),119103,184,4193,7,The Souled Store 
119107,Solids: Navy Blue - Variant ( L ), ( L ),119103,93,2995,5,The Souled Store 
146123,Solids: Mustard Yellow - Variant ( XXL ), ( XXL ),146105,0,11381,19,The Souled Store 
146118,Solids: Mustard Yellow - Variant ( XS ), ( XS ),146105,4,9584,16,The Souled Store 
146122,Solids: Mustard Yellow - Variant ( XL ), ( XL ),146105,0,8985,15,The Souled Store 
146119,Solids: Mustard Yellow - Variant ( S ), ( S ),146105,14,19767,33,The Souled Store 
146120,Solids: Mustard Yellow - Variant ( M ), ( M ),146105,37,17970,30,The Souled Store 
146121,Solids: Mustard Yellow - Variant ( L ), ( L ),146105,36,12579,21,The Souled Store 
130788,Solids: Mint Green - Variant ( XS ), ( XS ),130787,0,2995,5,The Souled Store 
130792,Solids: Mint Green - Variant ( XL ), ( XL ),130787,13,5391,9,The Souled Store 
130789,Solids: Mint Green - Variant ( S ), ( S ),130787,0,11980,20,The Souled Store 
130790,Solids: Mint Green - Variant ( M ), ( M ),130787,27,16772,28,The Souled Store 
130791,Solids: Mint Green - Variant ( L ), ( L ),130787,16,10183,17,The Souled Store 
136140,Solids: Maroon Melange (3/4th sleeve) - Variant ( XS ), ( XS ),136128,0,599,1,The Souled Store 
136141,Solids: Maroon Melange (3/4th sleeve) - Variant ( S ), ( S ),136128,-2,599,1,The Souled Store 
119126,Solids: Maroon Melange - Variant ( S ), ( S ),119124,3,2396,4,The Souled Store 
133949,Solids: Marine Melange - Variant ( XXL ), ( XXL ),133938,9,7188,12,The Souled Store 
133944,Solids: Marine Melange - Variant ( XS ), ( XS ),133938,18,5990,10,The Souled Store 
133948,Solids: Marine Melange - Variant ( XL ), ( XL ),133938,23,4193,7,The Souled Store 
133945,Solids: Marine Melange - Variant ( S ), ( S ),133938,54,4193,7,The Souled Store 
133946,Solids: Marine Melange - Variant ( M ), ( M ),133938,93,4792,8,The Souled Store 
133947,Solids: Marine Melange - Variant ( L ), ( L ),133938,67,1198,2,The Souled Store 
143234,Solids: Hoodie Warmer - Variant ( XXL ), ( XXL ),143228,12,7188,12,The Souled Store 
143229,Solids: Hoodie Warmer - Variant ( XS ), ( XS ),143228,73,9584,16,The Souled Store 
143233,Solids: Hoodie Warmer - Variant ( XL ), ( XL ),143228,62,13178,22,The Souled Store 
143230,Solids: Hoodie Warmer - Variant ( S ), ( S ),143228,286,7787,13,The Souled Store 
143231,Solids: Hoodie Warmer - Variant ( M ), ( M ),143228,284,10782,18,The Souled Store 
143232,Solids: Hoodie Warmer - Variant ( L ), ( L ),143228,38,19168,32,The Souled Store 
119146,Solids: Charcoal Melange - Variant ( XS ), ( XS ),119145,63,2396,4,The Souled Store 
119150,Solids: Charcoal Melange - Variant ( XL ), ( XL ),119145,61,5391,9,The Souled Store 
119147,Solids: Charcoal Melange - Variant ( S ), ( S ),119145,151,1797,3,The Souled Store 
119148,Solids: Charcoal Melange - Variant ( M ), ( M ),119145,246,1198,2,The Souled Store 
119149,Solids: Charcoal Melange - Variant ( L ), ( L ),119145,158,3594,6,The Souled Store 
119123,Solids: Brick Red - Variant ( XXL ), ( XXL ),119117,67,10183,17,The Souled Store 
119118,Solids: Brick Red - Variant ( XS ), ( XS ),119117,104,8386,14,The Souled Store 
119122,Solids: Brick Red - Variant ( XL ), ( XL ),119117,103,17970,30,The Souled Store 
119119,Solids: Brick Red - Variant ( S ), ( S ),119117,60,17371,29,The Souled Store 
119120,Solids: Brick Red - Variant ( M ), ( M ),119117,110,21564,36,The Souled Store 
119121,Solids: Brick Red - Variant ( L ), ( L ),119117,73,19168,32,The Souled Store 
119137,Solids: Bottle Green - Variant ( XXL ), ( XXL ),119131,22,21564,36,The Souled Store 
119132,Solids: Bottle Green - Variant ( XS ), ( XS ),119131,95,8985,15,The Souled Store 
119136,Solids: Bottle Green - Variant ( XL ), ( XL ),119131,174,20366,34,The Souled Store 
119133,Solids: Bottle Green - Variant ( S ), ( S ),119131,189,12579,21,The Souled Store 
119134,Solids: Bottle Green - Variant ( M ), ( M ),119131,183,12579,21,The Souled Store 
119135,Solids: Bottle Green - Variant ( L ), ( L ),119131,185,14376,24,The Souled Store 
119102,Solids: Black - Variant ( XXL ), ( XXL ),119096,148,21564,36,The Souled Store 
119097,Solids: Black - Variant ( XS ), ( XS ),119096,182,8985,15,The Souled Store 
119101,Solids: Black - Variant ( XL ), ( XL ),119096,365,11381,19,The Souled Store 
119098,Solids: Black - Variant ( S ), ( S ),119096,287,10183,17,The Souled Store 
119099,Solids: Black - Variant ( M ), ( M ),119096,299,19767,33,The Souled Store 
119100,Solids: Black - Variant ( L ), ( L ),119096,323,10183,17,The Souled Store 
126971,Slay - Variant ( XXL ), ( XXL ),126929,0,1797,3,The Souled Store 
126970,Slay - Variant ( XL ), ( XL ),126929,1,1797,3,The Souled Store 
126967,Slay - Variant ( S ), ( S ),126929,0,11980,20,The Souled Store 
126968,Slay - Variant ( M ), ( M ),126929,7,31148,52,The Souled Store 
126969,Slay - Variant ( L ), ( L ),126929,17,15574,26,The Souled Store 
143960,Shark Pattern - Variant ( XXL ), ( XXL ),143952,0,2396,4,The Souled Store 
143955,Shark Pattern - Variant ( XS ), ( XS ),143952,-1,6589,11,The Souled Store 
143959,Shark Pattern - Variant ( XL ), ( XL ),143952,0,5391,9,The Souled Store 
143956,Shark Pattern - Variant ( S ), ( S ),143952,13,16173,27,The Souled Store 
143957,Shark Pattern - Variant ( M ), ( M ),143952,49,10782,18,The Souled Store 
143958,Shark Pattern - Variant ( L ), ( L ),143952,30,10183,17,The Souled Store 
119696,Sassy Since Birth - Variant ( XXL ), ( XXL ),119682,0,20965,35,The Souled Store 
119691,Sassy Since Birth - Variant ( XS ), ( XS ),119682,161,10782,18,The Souled Store 
119695,Sassy Since Birth - Variant ( XL ), ( XL ),119682,0,13178,22,The Souled Store 
119692,Sassy Since Birth - Variant ( S ), ( S ),119682,180,16173,27,The Souled Store 
119693,Sassy Since Birth - Variant ( M ), ( M ),119682,201,25158,42,The Souled Store 
119694,Sassy Since Birth - Variant ( L ), ( L ),119682,0,28153,47,The Souled Store 
126960,Powerpuff Girls: Trio - Variant ( XS ), ( XS ),126924,11,13178,22,The Powerpuff Girls™ 
126964,Powerpuff Girls: Trio - Variant ( XL ), ( XL ),126924,32,38336,64,The Powerpuff Girls™ 
126961,Powerpuff Girls: Trio - Variant ( S ), ( S ),126924,271,29950,50,The Powerpuff Girls™ 
126962,Powerpuff Girls: Trio - Variant ( M ), ( M ),126924,126,41930,70,The Powerpuff Girls™ 
126963,Powerpuff Girls: Trio - Variant ( L ), ( L ),126924,66,34742,58,The Powerpuff Girls™ 
133965,Popsicle Pattern - Variant ( XS ), ( XS ),133958,0,599,1,The Souled Store 
133969,Popsicle Pattern - Variant ( XL ), ( XL ),133958,0,1198,2,The Souled Store 
133968,Popsicle Pattern - Variant ( L ), ( L ),133958,0,599,1,The Souled Store 
144336,Pocket Unicorn - Variant ( XXL ), ( XXL ),144330,0,5990,10,The Souled Store 
144331,Pocket Unicorn - Variant ( XS ), ( XS ),144330,0,2995,5,The Souled Store 
144335,Pocket Unicorn - Variant ( XL ), ( XL ),144330,0,11980,20,The Souled Store 
144332,Pocket Unicorn - Variant ( S ), ( S ),144330,11,14376,24,The Souled Store 
144333,Pocket Unicorn - Variant ( M ), ( M ),144330,34,17371,29,The Souled Store 
144334,Pocket Unicorn - Variant ( L ), ( L ),144330,23,10782,18,The Souled Store 
143968,Pocket Cat - Variant ( S ), ( S ),143954,0,5391,9,The Souled Store 
143969,Pocket Cat - Variant ( M ), ( M ),143954,-1,27554,46,The Souled Store 
143970,Pocket Cat - Variant ( L ), ( L ),143954,-1,9584,16,The Souled Store 
126954,Pizza Pattern - Variant ( XS ), ( XS ),126921,0,1198,2,The Souled Store 
126956,Pizza Pattern - Variant ( M ), ( M ),126921,0,4193,7,The Souled Store 
126957,Pizza Pattern - Variant ( L ), ( L ),126921,0,3594,6,The Souled Store 
127050,Pineapple Pattern - Variant ( XXL ), ( XXL ),127038,0,599,1,The Souled Store 
127045,Pineapple Pattern - Variant ( XS ), ( XS ),127038,0,7188,12,The Souled Store 
127049,Pineapple Pattern - Variant ( XL ), ( XL ),127038,0,23960,40,The Souled Store 
127046,Pineapple Pattern - Variant ( S ), ( S ),127038,0,8985,15,The Souled Store 
127047,Pineapple Pattern - Variant ( M ), ( M ),127038,17,95241,159,The Souled Store 
127048,Pineapple Pattern - Variant ( L ), ( L ),127038,6,50316,84,The Souled Store 
143703,Peanuts: Sleepy Snoopy - Variant ( XXL ), ( XXL ),143697,-1,599,1,Peanuts™ 
143698,Peanuts: Sleepy Snoopy - Variant ( XS ), ( XS ),143697,0,1198,2,Peanuts™ 
143702,Peanuts: Sleepy Snoopy - Variant ( XL ), ( XL ),143697,0,1198,2,Peanuts™ 
143700,Peanuts: Sleepy Snoopy - Variant ( M ), ( M ),143697,0,1198,2,Peanuts™ 
145352,Paw Pattern - Variant ( XXL ), ( XXL ),145337,0,17970,30,The Souled Store 
145347,Paw Pattern - Variant ( XS ), ( XS ),145337,6,17371,29,The Souled Store 
145351,Paw Pattern - Variant ( XL ), ( XL ),145337,7,14975,25,The Souled Store 
