id,order_id,flag_id,f_comment,user_id,created_at,updated_at
69424,300962,8,Flag set while cancelled request by customer,0,2017-02-28 12:30:37,2017-02-28 12:30:37
74761,317791,8,Flag set while cancelled request by customer,0,2017-03-18 19:53:23,2017-03-18 19:53:23
81579,344210,8,transaction incomplete,276362,2017-04-09 15:06:59,2017-04-09 15:06:59
93962,376116,8,Flag set while cancelled request by customer,0,2017-05-06 13:46:17,2017-05-06 13:46:17
96216,383948,8,Flag set while cancelled request by customer,0,2017-05-11 16:01:25,2017-05-11 16:01:25
96773,382085,8,Flag set while cancelled request by customer,0,2017-05-12 17:57:48,2017-05-12 17:57:48
357156,923663,8,"wants bank refund, asked for bank details, initiate after we receive the package",793387,2018-06-14 15:12:01,2018-06-14 15:12:01
386185,980624,8,Flag set while cancelled request by customer,0,2018-07-12 14:33:33,2018-07-12 14:33:33
390797,986886,8,Flag set while cancelled request by customer,0,2018-07-18 00:17:18,2018-07-18 00:17:18
578231,1427507,8,Flag set while cancelled request by customer,0,2019-01-22 21:33:12,2019-01-22 21:33:12
598929,1466492,8,Refunded Successfully[Bulk] : trial refunds ,919466,2019-02-08 16:44:33,2019-02-08 16:44:33
664123,1604708,8,"",0,2019-03-25 13:42:24,2019-03-25 13:42:24
769244,1638487,8,Package received L- MI: Official Fan Jersey (Sleeveless)  ( Wants bank refund but details not given ) ( reverse pick up ) ,1072029,2019-04-17 16:10:57,2019-04-17 16:10:57
773765,1634301,8,Package received L-Both tees (give full refund to original source) [Reverse pick up],1072029,2019-04-18 12:46:30,2019-04-18 12:46:30
773945,1643346,8,"""Package received-Wonder Woman: Logo Pattern 
Flip Flops
Size: UK 5 (Wants refund in original mode of payment ) [Reverse pick up]""",1072029,2019-04-18 13:15:47,2019-04-18 13:15:47
774737,1646335,8,Package received M -Marvel: Logo  Full Sleeve T-shirts ( Reverse pick up ) ,1072029,2019-04-18 15:12:21,2019-04-18 15:12:21
775035,1643227,8,Package received S- KKR: Do The Knight Thing  (Wants bank refund but details not given ) ( Reverse pick up ) ,1072029,2019-04-18 16:27:36,2019-04-18 16:27:36
776783,1604340,8,"",1072029,2019-04-18 22:08:40,2019-04-18 22:08:40
777642,1616374,8,"reverse pickup arranged on 8th April/wants bank refund 
",1072029,2019-04-19 01:56:40,2019-04-19 01:56:40
777752,1612694,8,M-All 3 tees (Wants bank refund but details not given),1072029,2019-04-19 02:43:30,2019-04-19 02:43:30
777756,1631399,8,"exchange request placed/pls add points difference because of price change 
",1072029,2019-04-19 02:45:44,2019-04-19 02:45:44
777767,1622691,8,"",1072029,2019-04-19 02:55:56,2019-04-19 02:55:56
779590,1597741,8,M-CSK: Official Polo // Wants refund in original mode of payment. ,1141335,2019-04-19 12:29:24,2019-04-19 12:29:24
780388,1651106,8,"",1072029,2019-04-19 15:14:43,2019-04-19 15:14:43
780544,1594206,8,Package received M-Batman Pattern-Boxer (Customer received wrong Boxer) [Reverse pick up]  Refund in original mode of payment,1141335,2019-04-19 15:57:10,2019-04-19 15:57:10
780755,1651800,8,XXL-Both Dresses,1072029,2019-04-19 16:50:22,2019-04-19 16:50:22
780882,1653973,8,"",1072029,2019-04-19 17:14:44,2019-04-19 17:14:44
783642,1649572,8,"",1072029,2019-04-20 11:46:59,2019-04-20 11:46:59
784652,1634507,8,"",1072029,2019-04-20 13:06:30,2019-04-20 13:06:30
796392,1645809,8,"",1072029,2019-04-22 15:57:59,2019-04-22 15:57:59
798334,1671350,8,Refunded. 1151. Mailed.,305907,2019-04-23 00:27:02,2019-04-23 00:27:02
799570,1667218,8,"",1072029,2019-04-23 11:33:45,2019-04-23 11:33:45
800169,1639434,8,"Refund in original mode	",1072029,2019-04-23 12:45:28,2019-04-23 12:45:28
801992,1655641,8,"L-WWE: Authentic Brock Lesnar ""Suplex City Welcomes You"" // wants refund in original payment mode",985657,2019-04-23 17:59:04,2019-04-23 17:59:04
802324,1504824,8,"asked for bank details, points removed",362759,2019-04-23 18:49:21,2019-04-23 18:49:21
803417,1649266,8,Wants refund in bank account. Awaiting details. Points removed from TSS account.,305907,2019-04-24 00:03:24,2019-04-24 00:03:24
804712,1655530,8,"XL-GFG: Do Or Die (Coral Red) 
",1072029,2019-04-24 10:31:44,2019-04-24 10:31:44
804913,1625723,8,"asked for bank, points removed",362759,2019-04-24 10:49:41,2019-04-24 10:49:41
805037,1503695,8,deducted 705 points // asked for bank dets,919466,2019-04-24 11:03:33,2019-04-24 11:03:33
805059,1659678,8,"Marijuana Pattern 
T-Shirts
Size: M  & WWE: The Rock 
T-Shirts
Size: M  ",1072029,2019-04-24 11:08:47,2019-04-24 11:08:47
805258,1663051,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:32,2019-04-24 06:10:32
805259,1663074,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:33,2019-04-24 06:10:33
805260,1663156,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:33,2019-04-24 06:10:33
805261,1663229,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:34,2019-04-24 06:10:34
805262,1663488,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:34,2019-04-24 06:10:34
805263,1663682,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:35,2019-04-24 06:10:35
805264,1663739,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:35,2019-04-24 06:10:35
805265,1663836,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:35,2019-04-24 06:10:35
805267,1663902,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:36,2019-04-24 06:10:36
805268,1664014,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:36,2019-04-24 06:10:36
805269,1664192,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:37,2019-04-24 06:10:37
805270,1664227,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:37,2019-04-24 06:10:37
805271,1664237,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:38,2019-04-24 06:10:38
805272,1664288,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:38,2019-04-24 06:10:38
805273,1664319,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:39,2019-04-24 06:10:39
805274,1664349,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:39,2019-04-24 06:10:39
805275,1664523,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:39,2019-04-24 06:10:39
805276,1664581,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:40,2019-04-24 06:10:40
805277,1664593,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:40,2019-04-24 06:10:40
805278,1664647,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:41,2019-04-24 06:10:41
805279,1664723,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:41,2019-04-24 06:10:41
805280,1664852,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:42,2019-04-24 06:10:42
805281,1664957,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:42,2019-04-24 06:10:42
805283,1664995,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:42,2019-04-24 06:10:42
805284,1664996,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:43,2019-04-24 06:10:43
805286,1665095,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:44,2019-04-24 06:10:44
805287,1665385,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:44,2019-04-24 06:10:44
805288,1665557,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:45,2019-04-24 06:10:45
805289,1665653,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:45,2019-04-24 06:10:45
805290,1665701,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:46,2019-04-24 06:10:46
805291,1665711,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:46,2019-04-24 06:10:46
805292,1665793,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:47,2019-04-24 06:10:47
805293,1665941,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:47,2019-04-24 06:10:47
805294,1666026,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:48,2019-04-24 06:10:48
805295,1666090,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:48,2019-04-24 06:10:48
805296,1666238,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:48,2019-04-24 06:10:48
805297,1666290,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:49,2019-04-24 06:10:49
805298,1666306,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:49,2019-04-24 06:10:49
805299,1666383,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:50,2019-04-24 06:10:50
805300,1666417,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:50,2019-04-24 06:10:50
805301,1666448,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:51,2019-04-24 06:10:51
805302,1667079,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:51,2019-04-24 06:10:51
805303,1667171,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:52,2019-04-24 06:10:52
805304,1667180,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:52,2019-04-24 06:10:52
805305,1667206,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:53,2019-04-24 06:10:53
805306,1667240,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:53,2019-04-24 06:10:53
805307,1667485,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:54,2019-04-24 06:10:54
805308,1667676,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:54,2019-04-24 06:10:54
805310,1667746,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:55,2019-04-24 06:10:55
805311,1667850,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:56,2019-04-24 06:10:56
805312,1667879,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:56,2019-04-24 06:10:56
805313,1667905,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:56,2019-04-24 06:10:56
805314,1667910,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:57,2019-04-24 06:10:57
805315,1667947,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:57,2019-04-24 06:10:57
805316,1667995,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:58,2019-04-24 06:10:58
805317,1668140,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:58,2019-04-24 06:10:58
805318,1668186,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:59,2019-04-24 06:10:59
805319,1668196,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:10:59,2019-04-24 06:10:59
805320,1668257,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:11:00,2019-04-24 06:11:00
805321,1668265,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:11:00,2019-04-24 06:11:00
805323,1648084,8,M-Pack Of Three: WWE // Wants bank refund,1301450,2019-04-24 11:41:42,2019-04-24 11:41:42
805377,1668320,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:37,2019-04-24 06:23:37
805380,1668493,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:39,2019-04-24 06:23:39
805381,1668510,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:39,2019-04-24 06:23:39
805382,1668594,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:40,2019-04-24 06:23:40
805383,1668605,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:40,2019-04-24 06:23:40
805384,1668729,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:40,2019-04-24 06:23:40
805385,1668892,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:41,2019-04-24 06:23:41
805386,1668990,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:41,2019-04-24 06:23:41
805387,1669036,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:42,2019-04-24 06:23:42
805388,1669043,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:42,2019-04-24 06:23:42
805389,1669534,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:43,2019-04-24 06:23:43
805391,1669965,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:44,2019-04-24 06:23:44
805392,1670094,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:44,2019-04-24 06:23:44
805393,1670336,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:44,2019-04-24 06:23:44
805394,1670356,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:45,2019-04-24 06:23:45
805395,1670692,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:45,2019-04-24 06:23:45
805396,1670695,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:46,2019-04-24 06:23:46
805397,1670847,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:46,2019-04-24 06:23:46
805398,1671276,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:47,2019-04-24 06:23:47
805399,1671286,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:47,2019-04-24 06:23:47
805400,1671736,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:48,2019-04-24 06:23:48
805401,1672159,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:48,2019-04-24 06:23:48
